ROWS	COLS	BC
A	1	BC1
B	1	BC193
C	1	BC2
D	1	BC194
E	1	BC3
F	1	BC195
G	1	BC4
H	1	BC196
I	1	BC5
J	1	BC197
K	1	BC6
L	1	BC198
M	1	BC7
N	1	BC199
O	1	BC8
P	1	BC200
A	2	BC97
B	2	BC289
C	2	BC98
D	2	BC290
E	2	BC99
F	2	BC291
G	2	BC100
H	2	BC292
I	2	BC101
J	2	BC293
K	2	BC102
L	2	BC294
M	2	BC103
N	2	BC295
O	2	BC104
P	2	BC296
A	3	BC9
B	3	BC201
C	3	BC10
D	3	BC202
E	3	BC11
F	3	BC203
G	3	BC12
H	3	BC204
I	3	BC13
J	3	BC205
K	3	BC14
L	3	BC206
M	3	BC15
N	3	BC207
O	3	BC16
P	3	BC208
A	4	BC105
B	4	BC297
C	4	BC106
D	4	BC298
E	4	BC107
F	4	BC299
G	4	BC108
H	4	BC300
I	4	BC109
J	4	BC301
K	4	BC110
L	4	BC302
M	4	BC111
N	4	BC303
O	4	BC112
P	4	BC304
A	5	BC17
B	5	BC209
C	5	BC18
D	5	BC210
E	5	BC19
F	5	BC211
G	5	BC20
H	5	BC212
I	5	BC21
J	5	BC213
K	5	BC22
L	5	BC214
M	5	BC23
N	5	BC215
O	5	BC24
P	5	BC216
A	6	BC113
B	6	BC305
C	6	BC114
D	6	BC306
E	6	BC115
F	6	BC307
G	6	BC116
H	6	BC308
I	6	BC117
J	6	BC309
K	6	BC118
L	6	BC310
M	6	BC119
N	6	BC311
O	6	BC120
P	6	BC312
A	7	BC25
B	7	BC217
C	7	BC26
D	7	BC218
E	7	BC27
F	7	BC219
G	7	BC28
H	7	BC220
I	7	BC29
J	7	BC221
K	7	BC30
L	7	BC222
M	7	BC31
N	7	BC223
O	7	BC32
P	7	BC224
A	8	BC121
B	8	BC313
C	8	BC122
D	8	BC314
E	8	BC123
F	8	BC315
G	8	BC124
H	8	BC316
I	8	BC125
J	8	BC317
K	8	BC126
L	8	BC318
M	8	BC127
N	8	BC319
O	8	BC128
P	8	BC320
A	9	BC33
B	9	BC225
C	9	BC34
D	9	BC226
E	9	BC35
F	9	BC227
G	9	BC36
H	9	BC228
I	9	BC37
J	9	BC229
K	9	BC38
L	9	BC230
M	9	BC39
N	9	BC231
O	9	BC40
P	9	BC232
A	10	BC129
B	10	BC321
C	10	BC130
D	10	BC322
E	10	BC131
F	10	BC323
G	10	BC132
H	10	BC324
I	10	BC133
J	10	BC325
K	10	BC134
L	10	BC326
M	10	BC135
N	10	BC327
O	10	BC136
P	10	BC328
A	11	BC41
B	11	BC233
C	11	BC42
D	11	BC234
E	11	BC43
F	11	BC235
G	11	BC44
H	11	BC236
I	11	BC45
J	11	BC237
K	11	BC46
L	11	BC238
M	11	BC47
N	11	BC239
O	11	BC48
P	11	BC240
A	12	BC137
B	12	BC329
C	12	BC138
D	12	BC330
E	12	BC139
F	12	BC331
G	12	BC140
H	12	BC332
I	12	BC141
J	12	BC333
K	12	BC142
L	12	BC334
M	12	BC143
N	12	BC335
O	12	BC144
P	12	BC336
A	13	BC49
B	13	BC241
C	13	BC50
D	13	BC242
E	13	BC51
F	13	BC243
G	13	BC52
H	13	BC244
I	13	BC53
J	13	BC245
K	13	BC54
L	13	BC246
M	13	BC55
N	13	BC247
O	13	BC56
P	13	BC248
A	14	BC145
B	14	BC337
C	14	BC146
D	14	BC338
E	14	BC147
F	14	BC339
G	14	BC148
H	14	BC340
I	14	BC149
J	14	BC341
K	14	BC150
L	14	BC342
M	14	BC151
N	14	BC343
O	14	BC152
P	14	BC344
A	15	BC57
B	15	BC249
C	15	BC58
D	15	BC250
E	15	BC59
F	15	BC251
G	15	BC60
H	15	BC252
I	15	BC61
J	15	BC253
K	15	BC62
L	15	BC254
M	15	BC63
