ROWS	COLS	BC
A	1	BC1
B	1	BC97
C	1	BC2
D	1	BC98
E	1	BC3
F	1	BC99
G	1	BC4
H	1	BC100
I	1	BC5
J	1	BC101
K	1	BC6
L	1	BC102
M	1	BC7
N	1	BC103
O	1	BC8
P	1	BC104
A	2	BC193
B	2	BC289
C	2	BC194
D	2	BC290
E	2	BC195
F	2	BC291
G	2	BC196
H	2	BC292
I	2	BC197
J	2	BC293
K	2	BC198
L	2	BC294
M	2	BC199
N	2	BC295
O	2	BC200
P	2	BC296
A	3	BC9
B	3	BC105
C	3	BC10
D	3	BC106
E	3	BC11
F	3	BC107
G	3	BC12
H	3	BC108
I	3	BC13
J	3	BC109
K	3	BC14
L	3	BC110
M	3	BC15
N	3	BC111
O	3	BC16
P	3	BC112
A	4	BC201
B	4	BC297
C	4	BC202
D	4	BC298
E	4	BC203
F	4	BC299
G	4	BC204
H	4	BC300
I	4	BC205
J	4	BC301
K	4	BC206
L	4	BC302
M	4	BC207
N	4	BC303
O	4	BC208
P	4	BC304
A	5	BC17
B	5	BC113
C	5	BC18
D	5	BC114
E	5	BC19
F	5	BC115
G	5	BC20
H	5	BC116
I	5	BC21
J	5	BC117
K	5	BC22
L	5	BC118
M	5	BC23
N	5	BC119
O	5	BC24
P	5	BC120
A	6	BC209
B	6	BC305
C	6	BC210
D	6	BC306
E	6	BC211
F	6	BC307
G	6	BC212
H	6	BC308
I	6	BC213
J	6	BC309
K	6	BC214
L	6	BC310
M	6	BC215
N	6	BC311
O	6	BC216
P	6	BC312
A	7	BC25
B	7	BC121
C	7	BC26
D	7	BC122
E	7	BC27
F	7	BC123
G	7	BC28
H	7	BC124
I	7	BC29
J	7	BC125
K	7	BC30
L	7	BC126
M	7	BC31
N	7	BC127
O	7	BC32
P	7	BC128
A	8	BC217
B	8	BC313
C	8	BC218
D	8	BC314
E	8	BC219
F	8	BC315
G	8	BC220
H	8	BC316
I	8	BC221
J	8	BC317
K	8	BC222
L	8	BC318
M	8	BC223
N	8	BC319
O	8	BC224
P	8	BC320
A	9	BC33
B	9	BC129
C	9	BC34
D	9	BC130
E	9	BC35
F	9	BC131
G	9	BC36
H	9	BC132
I	9	BC37
J	9	BC133
K	9	BC38
L	9	BC134
M	9	BC39
N	9	BC135
O	9	BC40
P	9	BC136
A	10	BC225
B	10	BC321
C	10	BC226
D	10	BC322
E	10	BC227
F	10	BC323
G	10	BC228
H	10	BC324
I	10	BC229
J	10	BC325
K	10	BC230
L	10	BC326
M	10	BC231
N	10	BC327
O	10	BC232
P	10	BC328
A	11	BC41
B	11	BC137
C	11	BC42
D	11	BC138
E	11	BC43
F	11	BC139
G	11	BC44
H	11	BC140
I	11	BC45
J	11	BC141
K	11	BC46
L	11	BC142
M	11	BC47
N	11	BC143
O	11	BC48
P	11	BC144
A	12	BC233
B	12	BC329
C	12	BC234
D	12	BC330
E	12	BC235
F	12	BC331
G	12	BC236
H	12	BC332
I	12	BC237
J	12	BC333
K	12	BC238
L	12	BC334
M	12	BC239
N	12	BC335
O	12	BC240
P	12	BC336
A	13	BC49
B	13	BC145
C	13	BC50
D	13	BC146
E	13	BC51
F	13	BC147
G	13	BC52
H	13	BC148
I	13	BC53
J	13	BC149
K	13	BC54
L	13	BC150
M	13	BC55
N	13	BC151
O	13	BC56
P	13	BC152
A	14	BC241
B	14	BC337
C	14	BC242
D	14	BC338
E	14	BC243
F	14	BC339
G	14	BC244
H	14	BC340
I	14	BC245
J	14	BC341
K	14	BC246
L	14	BC342
M	14	BC247
N	14	BC343
O	14	BC248
P	14	BC344
A	15	BC57
B	15	BC153
C	15	BC58
D	15	BC154
E	15	BC59
F	15	BC155
G	15	BC60
H	15	BC156
I	15	BC61
J	15	BC157
K	15	BC62
L	15	BC158
M	15	BC63
N	15	BC159
